MIC_id,SpeciesName,SpeciesID,phylum_name_Type,genus,genus_name,family,family_name,order,order_name,class,class_name,phylum,phylum_name,kingdom,kingdom_name
MC00583,unclassified Brevibacterium,2614124,Actinomycetota,1696,Brevibacterium,85019,Brevibacteriaceae,85006,Micrococcales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC02788,unclassified Brucellaceae,174575,Pseudomonadota,.,.,118882,Brucellaceae,356,Hyphomicrobiales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02915,unclassified Bryobacterales,1470392,Acidobacteriota,.,.,.,.,332160,Bryobacterales,204432,Terriglobia,57723,Acidobacteriota,2,Bacteria
MC00586,unclassified Burkholderiaceae,132490,Pseudomonadota,.,.,119060,Burkholderiaceae,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC00556,unclassified Burkholderiales,80841,Pseudomonadota,.,.,.,.,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02996,unclassified Calditrichaceae,2614243,Calditrichota,.,.,1962854,Calditrichaceae,1962852,Calditrichales,1962850,Calditrichia,1930617,Calditrichota,2,Bacteria
MC01779,unclassified Campylobacteraceae ,94133,Campylobacterota,.,.,72294,Campylobacteraceae,213849,Campylobacterales,3031852,Epsilonproteobacteria,29547,Campylobacterota,2,Bacteria
MC02905,unclassified Campylobacterales,1227571,Campylobacterota,.,.,.,.,213849,Campylobacterales,3031852,Epsilonproteobacteria,29547,Campylobacterota,2,Bacteria
MC03376,unclassified Candida,2688313,Ascomycota,5475,Candida,766764,Debaryomycetaceae,4892,Saccharomycetales,4891,Saccharomycetes,4890,Ascomycota,4751,Fungi
MC02960,unclassified Candidatus Cenarchaeales,2478493,Nitrososphaerota,.,.,.,.,205948,Candidatus Cenarchaeales,.,.,651137,Nitrososphaerota,2157,Archaea
MC02966,unclassified Candidatus Midichloriaceae,2570584,Pseudomonadota,.,.,1328881,Candidatus Midichloriaceae,766,Rickettsiales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02930,unclassified Cardiobacteriaceae,1839806,Pseudomonadota,.,.,868,Cardiobacteriaceae,135615,Cardiobacteriales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02950,unclassified Cardiobacteriales,2044592,Pseudomonadota,.,.,.,.,135615,Cardiobacteriales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02814,unclassified Carnobacteriaceae,268966,Bacillota,.,.,186828,Carnobacteriaceae,186826,Lactobacillales,91061,Bacilli,1239,Bacillota,2,Bacteria
MC01492,unclassified Catabacteriaceae,990719,Bacillota,.,.,990719,Christensenellaceae,3082768,Christensenellales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC01422,unclassified Caulobacteraceae,81440,Pseudomonadota,.,.,76892,Caulobacteraceae,204458,Caulobacterales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC01476,unclassified Caulobacterales,451208,Pseudomonadota,.,.,.,.,204458,Caulobacterales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02827,unclassified Ceduovirus,329156,Uroviricota,186532,Ceduovirus,.,.,.,.,2731619,Caudoviricetes,2731618,Uroviricota,2731360,Heunggongvirae
MC02789,unclassified Cellulomonadaceae,185258,Actinomycetota,.,.,85016,Cellulomonadaceae,85006,Micrococcales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC03339,unclassified Centrocestus,2648886,Platyhelminthes,234882,Centrocestus,84526,Heterophyidae,6193,Opisthorchiida,6178,Trematoda,6157,Platyhelminthes,33208,Metazoa
MC01485,unclassified Chitinophagaceae,569836,Bacteroidota,.,.,563835,Chitinophagaceae,1853229,Chitinophagales,1853228,Chitinophagia,976,Bacteroidota,2,Bacteria
MC02951,unclassified Chlamydiia,2052155,Chlamydiota,.,.,.,.,.,.,204429,Chlamydiia,204428,Chlamydiota,2,Bacteria
MC02924,unclassified Chlamydiota,1704234,Chlamydiota,.,.,.,.,.,.,.,.,204428,Chlamydiota,2,Bacteria
MC02958,unclassified Chloroflexia,2448781,Chloroflexota,.,.,.,.,.,.,32061,Chloroflexia,200795,Chloroflexota,2,Bacteria
MC01708,unclassified Chloroflexota,189774,Chloroflexota,.,.,.,.,.,.,.,.,200795,Chloroflexota,2,Bacteria
